,City,Cloudiness,Country,Humidity,Lat,Lon,Max Temp,Wind Speed
480,Port Alfred,100,ZA,93,-33.59,26.89,288.71,0.45
481,Ciechocinek,0,PL,100,52.88,18.79,280.93,2.6
483,Ambon,0,FR,87,47.55,-2.56,285.93,3.6
484,Balkanabat,0,TM,44,39.51,54.36,293.027,1.06
485,Ulladulla,0,AU,48,-35.36,150.48,291.48,5.7
486,Zanjan,0,IR,76,36.67,48.48,282.927,0.46
487,Amahai,67,ID,87,-3.31,129,297.907,2.82
488,Huatulco,90,MX,78,15.84,-96.33,300.15,1.58
489,Cherskiy,19,RU,86,68.75,161.3,266.467,6.79
490,Lima,90,PE,82,-12.06,-77.04,291.15,4.1
491,Susangerd,0,IR,45,31.56,48.19,301.15,1
492,Trincomalee,4,LK,89,8.58,81.23,297.147,1.05
493,Cherskiy,19,RU,86,68.75,161.3,266.467,6.79
494,Ust-Tsilma,100,RU,96,65.44,52.15,277.897,1.34
496,Aksarka,52,RU,81,66.56,67.8,278.347,7.45
497,Manta,4,RO,62,45.1,24.1,289.407,1.51
498,Prachuap Khiri Khan,96,TH,98,11.81,99.79,295.177,0.91
499,Maragogi,0,BR,85,-9.01,-35.22,295.517,2.55
500,Ballina,100,IE,87,54.11,-9.15,283.15,1.79
501,Dwarka,20,IN,83,28.58,77.04,298.15,2.66
502,Kununurra,0,AU,82,-15.77,128.74,290.15,1
504,Trincomalee,4,LK,89,8.58,81.23,297.147,1.05
505,Durres,20,AL,93,41.32,19.44,292.15,2.6
506,Saint-Pierre,0,FR,81,48.95,4.24,280.15,4.1
508,Khokhlovo,0,RU,71,50.71,36.69,285.15,2
509,Kargopol,92,RU,94,61.51,38.95,277.827,1.42
510,Pangnirtung,75,CA,93,66.15,-65.72,276.15,2.1
511,Galeana,0,MX,37,24.83,-100.08,296.787,2.59
512,Kakuda,75,JP,93,37.99,140.78,291.15,1.5
513,Cherskiy,19,RU,86,68.75,161.3,266.467,6.79
514,Lagoa,0,PT,68,37.14,-8.45,292.15,5.1
515,Mitsamiouli,0,KM,80,-11.38,43.28,298.897,4.87
516,Juneau,75,US,81,58.3,-134.42,284.26,4.6
517,Vila Franca do Campo,75,PT,88,37.72,-25.43,294.82,6.7
518,Ati,5,TD,59,13.21,18.34,301.557,7.32
519,Quevedo,92,EC,49,-1.02,-79.47,303.827,0.14
520,Necochea,0,AR,69,-38.55,-58.74,280.37,1.34
521,Green River,40,US,33,41.53,-109.47,283.15,11.3
522,Byron Bay,0,AU,59,-28.65,153.62,294.26,2.6
523,Cherskiy,19,RU,86,68.75,161.3,266.467,6.79
524,Batak,0,BG,77,43.35,25.34,293.15,1.18
525,Rundu,0,NA,11,-17.91,19.77,291.857,3.64
526,Landshut,20,DE,87,48.54,12.15,282.04,4.6
527,Ballina,100,IE,87,54.11,-9.15,283.15,1.79
528,Havelock,1,US,65,34.88,-76.9,303.15,5.1
529,Oum Hadjer,28,TD,53,13.3,19.7,303.117,5.53
530,Dikson,2,RU,77,73.51,80.55,269.837,8.84
531,Talas,0,KG,64,42.52,72.24,279.807,0.67
532,Chuy,100,UY,88,-33.69,-53.46,285.797,10.68
533,Alofi,40,NU,74,-19.06,-169.92,300.15,3.1
534,Sao Miguel do Araguaia,25,BR,38,-13.28,-50.16,306.207,2.82
535,Falam,20,MM,98,22.91,93.68,288.157,0.46
536,Zhoucun,65,CN,55,35.48,112.62,292.587,0.53
537,Hay River,75,CA,32,60.82,-115.79,292.15,3.1
538,Longonjo,42,AO,80,-12.91,15.25,291.257,2.36
539,Witu,1,KE,88,-2.39,40.44,298.15,2.18
540,Privolnaya,0,RU,57,46.14,38.7,289.707,3.71
541,Cartagena,100,ES,78,37.63,-1,295.37,1.5
542,Mugur-Aksy,0,RU,70,50.38,90.44,262.017,1.45
543,Qaanaaq,50,GL,77,77.48,-69.36,268.577,1.98
544,Riyadh,0,SA,25,24.63,46.72,304.15,1.5
545,Sault Sainte Marie,1,CA,57,46.49,-84.36,285.15,5.7
546,Mount Gambier,90,AU,93,-37.83,140.78,285.15,4.1
547,Cockburn Town,100,TC,70,21.46,-71.14,301.667,2.28
548,Mugur-Aksy,0,RU,70,50.38,90.44,262.017,1.45
549,Green River,40,US,33,41.53,-109.47,283.15,11.3
550,Yeppoon,40,AU,64,-23.13,150.74,293.15,4.1
551,Baruun-Urt,100,MN,94,46.68,113.28,273.717,8.32
552,Ushuaia,75,AR,75,-54.81,-68.31,279.15,13.9
553,Oyama,75,JP,93,36.31,139.8,298.15,1
554,Kuliyapitiya,20,LK,88,7.47,80.04,299.15,1
555,Le Mars,90,US,100,42.79,-96.17,284.26,1.5
556,Ekhabi,48,RU,62,53.51,142.97,278.037,11.77
557,Oriximina,0,BR,41,-1.77,-55.87,307.397,2.61
558,Jackson,1,US,38,32.3,-90.18,310.15,1.5
559,Kuliyapitiya,20,LK,88,7.47,80.04,299.15,1
560,Te Anau,89,NZ,76,-45.41,167.72,276.617,0.55
561,Pochutla,90,MX,78,15.74,-96.47,304.15,1.58
562,Taungdwingyi,99,MM,92,20,95.55,296.657,2.28
563,Trincomalee,4,LK,89,8.58,81.23,297.147,1.05
564,Anadyr,20,RU,67,64.73,177.51,273.15,9
565,Frontera,75,MX,83,18.53,-92.64,301.15,4.1
566,Pisco,0,PE,30,-13.71,-76.2,295.15,5.7
567,Killarney,0,AU,53,-28.34,152.3,289.82,0.73
568,Xihua,68,CN,45,33.79,114.53,294.027,1.15
569,Hirado,75,JP,83,33.32,129.49,299.15,8.7
570,Nsanje,100,MZ,82,-16.92,35.26,293.307,4.53
571,Neryungri,100,RU,89,56.66,124.71,267.197,2.92
572,Mazamari,100,PE,96,-11.33,-74.53,279.757,1.51
573,Landshut,20,DE,87,48.54,12.15,282.04,4.6
574,Whitianga,23,NZ,74,-36.83,175.7,288.15,0.89
575,Longyearbyen,75,NO,92,78.22,15.63,272.15,5.7
576,Kamenka,99,MD,70,48.03,28.7,288.71,1.79
577,Arlit,48,NE,9,18.74,7.39,307.067,4.94
578,La Paz,20,MX,38,24.15,-110.32,304.15,5.7
579,Hasaki,75,JP,100,35.73,140.83,292.59,1
582,Boden,0,SE,80,65.83,21.69,274.15,2.1
583,Atambua,41,ID,75,-9.11,124.89,297.797,1.83
584,Khandyga,89,RU,75,62.65,135.58,268.037,1.28
585,Saravan,0,AM,43,39.72,45.65,286.15,2.1
586,Huatulco,90,MX,78,15.84,-96.33,300.15,1.58
587,Safford,1,US,25,32.83,-109.71,303.15,0.57
588,Virginia Beach,20,US,58,36.85,-75.98,308.15,3.1
589,Virginia Beach,20,US,58,36.85,-75.98,308.15,3.1
590,Kimberley,0,ZA,29,-28.74,24.76,290.15,3.6
591,Necochea,0,AR,69,-38.55,-58.74,280.37,1.34
592,Lorengau,80,PG,82,-2.02,147.27,298.957,1.77
593,Opuwo,0,NA,46,-18.06,13.84,288.357,1.29
594,Ginda,0,IN,81,30.69,78.49,283.177,1.76
595,Ossora,92,RU,95,59.24,163.07,275.977,1.9
596,Balkanabat,0,TM,44,39.51,54.36,293.027,1.06
597,Puerto Madero,0,AR,51,-34.61,-58.36,288.15,9.3
598,Great Malvern,0,GB,86,52.11,-2.33,280.37,0.5
599,Soyo,49,AO,84,-6.13,12.37,298.237,4.22
600,Labuhan,64,ID,93,-2.54,115.51,294.747,0.71
601,Kamenka,99,MD,70,48.03,28.7,288.71,1.79
602,Rundu,0,NA,11,-17.91,19.77,291.857,3.64
603,Balaipungut,88,ID,96,1.11,101.31,295.567,0.73
604,Dicabisagan,49,PH,93,17.08,122.42,295.257,0.83
606,Susangerd,0,IR,45,31.56,48.19,301.15,1
607,Mar del Plata,92,AR,22,-46.43,-67.52,285.217,4.68
608,Broome,75,GB,76,52.47,1.45,283.71,4.1
609,Whitehorse,75,CA,50,60.72,-135.06,284.15,5.1
610,Vila Franca do Campo,75,PT,88,37.72,-25.43,294.82,6.7
612,Mnogovershinnyy,54,RU,83,53.94,139.92,271.797,2.03
613,Volkhov,81,RU,96,59.92,32.34,278.71,2.08
614,Privolnaya,0,RU,57,46.14,38.7,289.707,3.71
615,Mar del Plata,92,AR,22,-46.43,-67.52,285.217,4.68
616,Rio Grande,90,BR,82,-32.03,-52.1,293.15,5.7
617,Privolnaya,0,RU,57,46.14,38.7,289.707,3.71
618,Vila Velha,20,BR,69,-3.71,-38.6,300.15,6.7
619,Midland,40,US,45,32,-102.08,305.37,3.1
620,Susangerd,0,IR,45,31.56,48.19,301.15,1
621,Mount Gambier,90,AU,93,-37.83,140.78,285.15,4.1
622,Rio Gallegos,75,AR,43,-51.62,-69.22,284.15,10.8
623,Castro,0,CL,43,-42.48,-73.76,284.15,3.6
624,Husavik,31,CA,74,50.56,-96.99,279.82,3.04
625,Bad Voslau,75,AT,76,47.97,16.21,284.26,8.7
